"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY","X","X.1","YM.1","판매년월"
"118",201310,"일반탄산음료",64,2563,1898,21,239981,3011,10,NA,NA,"",""
"119",201311,"일반탄산음료",68,1878,1923,12,232854,2944,9,NA,NA,"",""
"120",201312,"일반탄산음료",65,1770,1939,5,240458,202,10,NA,NA,"",""
"121",200901,"일반탄산음료",1,27,1300,4,126753,151,12,NA,NA,"",""
"122",200902,"일반탄산음료",2,29,1300,9,113399,3014,8,NA,NA,"",""
"123",200903,"일반탄산음료",2,67,1300,12,129162,1383,9,NA,NA,"",""
"124",200904,"일반탄산음료",2,60,1300,19,126277,3564,8,NA,NA,"",""
"125",200905,"일반탄산음료",2,74,1300,25,129584,9288,12,NA,NA,"",""
"126",200906,"일반탄산음료",2,84,1300,27,123218,9998,8,NA,NA,"",""
"127",200907,"일반탄산음료",2,61,1300,28,131083,17405,8,NA,NA,"",""
"128",200908,"일반탄산음료",2,63,1300,29,130040,7704,10,NA,NA,"",""
"129",200909,"일반탄산음료",2,56,1300,27,131989,4096,8,NA,NA,"",""
"130",200910,"일반탄산음료",2,50,1300,22,136095,2824,10,NA,NA,"",""
"131",200911,"일반탄산음료",2,31,1300,12,136152,3684,9,NA,NA,"",""
"132",200912,"일반탄산음료",6,42,1633,5,137391,216,9,NA,NA,"",""
"133",201001,"일반탄산음료",6,226,1633,2,141145,792,11,NA,NA,"",""
"134",201002,"일반탄산음료",6,185,1633,7,128528,4384,9,NA,NA,"",""
"135",201003,"일반탄산음료",6,229,1633,10,145771,2940,9,NA,NA,"",""
"136",201004,"일반탄산음료",7,326,1657,15,130412,5973,8,NA,NA,"",""
"137",201005,"일반탄산음료",7,445,1657,23,143681,8656,12,NA,NA,"",""
"138",201006,"일반탄산음료",5,438,1780,28,145035,6325,8,NA,NA,"",""
"139",201007,"일반탄산음료",8,387,1725,29,148561,14930,9,NA,NA,"",""
"140",201008,"일반탄산음료",8,599,1725,31,153056,30531,9,NA,NA,"",""
"141",201009,"일반탄산음료",8,728,1725,27,147804,23150,11,NA,NA,"",""
"142",201010,"일반탄산음료",8,916,1725,20,155952,1337,10,NA,NA,"",""
"143",201011,"일반탄산음료",8,687,1725,13,154482,0,8,NA,NA,"",""
"144",201012,"일반탄산음료",9,601,1744,5,161292,886,8,NA,NA,"",""
"145",201101,"일반탄산음료",9,581,1744,-1,163610,82,10,NA,NA,"",""
"146",201102,"일반탄산음료",9,691,1744,7,149737,5587,11,NA,NA,"",""
"147",201103,"일반탄산음료",9,452,1744,10,169838,919,9,NA,NA,"",""
"148",201104,"일반탄산음료",9,511,1744,17,167577,8244,9,NA,NA,"",""
"149",201105,"일반탄산음료",12,660,1758,23,176452,7345,10,NA,NA,"",""
"150",201106,"일반탄산음료",12,1088,1758,27,173664,25001,9,NA,NA,"",""
"151",201107,"일반탄산음료",11,992,1800,29,182676,43058,10,NA,NA,"",""
"152",201108,"일반탄산음료",11,1022,1800,29,186850,20554,9,NA,NA,"",""
"153",201109,"일반탄산음료",11,991,1800,26,184270,5373,10,NA,NA,"",""
"154",201110,"일반탄산음료",10,734,1830,20,194286,4146,11,NA,NA,"",""
"155",201111,"일반탄산음료",11,554,1836,16,191703,10027,8,NA,NA,"",""
